category,query,language,engine,title,link,source,publication_info,pdf_link,date,snippet,position,year_min,year_max,occurrences,label,confidence,pmesii,source_type,admiralty_source_reliability,admiralty_distance_to_origin,admiralty_info_credibility,rationale
military,air defense Moldova OR naval capability Moldova 2024..2025,en,scholar,TRANSFORMATION OF THE BUDGET SYSTEM OF UKRAINE IN THE FACE OF EXTRAORDINARY CHALLENGES AND THREATS,https://openalex.org/W4392291772,Financial and credit activity problems of theory and practice (2024),,https://fkd.net.ua/index.php/fkd/article/download/4261/4014,,,,,,,non_intel,0.83,[],journal,A,b,6,Academic paper on Ukraine’s budget system; contains no Moldova-relevant infrastructure details for 2024–2025.
military,air defense Moldova OR naval capability Moldova 2024..2025,en,scholar,The Strategic Implications of the Protracted Russian-Ukrainian War,https://openalex.org/W4405393930,Gazi Akademik Bakış (2024),,,,,,,,,non_intel,0.83,[],journal,A,b,6,Strategic analysis of the Russia–Ukraine war; lacks concrete Moldova infrastructure information.
military,air defense Moldova OR naval capability Moldova 2024..2025,en,scholar,Delivering a Climate Neutral Europe,https://openalex.org/W4394931585,Routledge eBooks (2024),,https://cadmus.eui.eu/bitstream/1814/76985/1/Delivering_a_climate_neutral_Europe_Book_2024.pdf,,,,,,,non_intel,0.78,[],journal,A,b,6,EU climate policy book; not Moldova-specific and offers no actionable Moldova infrastructure details.
military,Moldova Armed Forces size OR order of battle 2024..2025,en,scholar,The Law &amp; Politics of Brexit: Volume V,https://openalex.org/W4398255335,Oxford University Press eBooks (2024),,https://academic.oup.com/book/56381/book-pdf/57406675/9780198908296_web.pdf,,,,,,,non_intel,0.92,[],journal,A,b,6,Brexit legal volume; unrelated to Moldova’s infrastructure systems or dependencies.
military,Moldova Armed Forces size OR order of battle 2024..2025,en,scholar,Positive Complementarity in Action: International Criminal Justice and the Ongoing Armed Conflict in Ukraine,https://openalex.org/W4401919112,International Criminal Law Review (2024),,https://brill.com/downloadpdf/view/journals/icla/aop/article-10.1163-15718123-bja10211/article-10.1163-15718123-bja10211.pdf,,,,,,,non_intel,0.89,[],journal,A,b,6,Legal analysis of ICC and Ukraine; provides no Moldova infrastructure insights.
military,military exercises Moldova OR training 2024..2025,en,scholar,"ПРОГРАМА ФІЗКУЛЬТУРНО-СПОРТИВНОЇ РЕАБІЛІТАЦІЇ З ЕЛЕМЕНТАМИ ЙОГИ ДЛЯ ВІЙСЬКОВОСЛУЖБОВЦІВ ТА ВЕТЕРАНІВ, ЯКІ БРАЛИ УЧАСТЬ У ВІДБОРІ ДО УКРАЇНСЬКОЇ НАЦІОНАЛЬНОЇ ЗБІРОНОЇ INVICTUS GAMES-2025У ВАНКУВЕРІ-ВІСТЛЕРІ (КАНАДА)",https://openalex.org/W4412069133,Physical culture sports and health of the nation (2025),,,,,,,,,non_intel,0.97,[],journal,C,b,6,Ukrainian sports rehabilitation program; not related to Moldova or its infrastructure.
military,military exercises Moldova OR training 2024..2025,en,scholar,Operation Bunyan-un-Marsoos and the Balance of Power in South Asia: Pakistan’s Deterrence against Indian Military Escalation,https://openalex.org/W4414628372,2025,,https://invergejournals.com/index.php/ijss/article/download/172/317,,,,,,,non_intel,0.98,[],journal,C,b,6,South Asia deterrence study; no relevance to Moldova or its infrastructure systems.
military,military exercises Moldova OR training 2024..2025,en,scholar,Physical Fitness Control of Soldiers of the National Armed Forces. Summary of the Doctoral Thesis,https://openalex.org/W4410166024,2025,,,,,,,,,non_intel,0.96,[],journal,C,b,6,Doctoral thesis summary on soldiers’ fitness; lacks Moldova infrastructure content.
military,border security Moldova patrols equipment 2024..2025,en,scholar,Seven Arguments in Favour of Rethinking Corruption,https://openalex.org/W4392398079,eucrim – The European Criminal Law Associations Forum (2024),,,,,,,,,non_intel,0.86,[],journal,C,b,6,Legal essay on corruption concepts; not specific to Moldova infrastructure.
military,arms procurement Moldova 2024..2025,en,scholar,European Defence Union ASAP: The Act in Support of Ammunition Production and the development of EU defence capabilities in response to the war in Ukraine,https://openalex.org/W4391758208,European Foreign Affairs Review (2024),,https://kluwerlawonline.com/api/Product/CitationPDFURL?file=Journals\EERR\EERR2024004.pdf,,,,,,,non_intel,0.84,[],journal,A,b,6,EU defence industrial policy analysis; no concrete Moldova infrastructure details.
