category,query,language,engine,title,link,source,publication_info,pdf_link,date,snippet,position,year_min,year_max,occurrences,label,confidence,pmesii,source_type,admiralty_source_reliability,admiralty_distance_to_origin,admiralty_info_credibility,rationale
social,education workforce Moldova technical universities 2024..2025,en,scholar,Gender Responsive Budgeting (GRB) in Western Balkans between aspirations and reality,https://openalex.org/W4390842296,Deleted Journal (2024),,https://sciendo.com/pdf/10.2478/ejels-2024-0002,,,,,,,non_intel,0.95,[],journal,F,b,6,Covers gender budgeting in Western Balkans; no concrete Moldova infrastructure content or 2024–2025 infrastructure details relevant to dependencies.
social,education workforce Moldova technical universities 2024..2025,en,scholar,"Re-politicising Anti-Trafficking: Migration, labour, and the war in Ukraine",https://openalex.org/W4396220260,Anti-Trafficking Review (2024),,https://antitraffickingreview.org/index.php/atrjournal/article/download/753/553,,,,,,,non_intel,0.92,[],journal,B,b,3,"Focuses on anti-trafficking, migration, and Ukraine war; lacks Moldova infrastructure specifics or actionable details on systems, actors, or capabilities."
social,education workforce Moldova technical universities 2024..2025,en,scholar,Moldova’s transition to a productive market economy with the help of IT sector and the road to EU accession,https://openalex.org/W4406262229,Journal of Infrastructure Policy and Development (2025),,,,,,,,,intel,0.62,"['Capabilities', 'Organisations']",journal,B,b,3,Peer‑reviewed article on Moldova’s IT sector and EU accession likely details digital infrastructure capabilities and institutional context relevant to dependencies.
social,migration Moldova refugees Ukrainian impact 2024..2025,en,scholar,The application of the temporary protection directive: challenges and good practises for Ireland,https://openalex.org/W4395071041,2024,,https://www.esri.ie/pubs/RS185.pdf,,,,,,,non_intel,0.97,[],journal,B,b,3,Ireland-focused analysis of Temporary Protection Directive; no Moldova or infrastructure system details.
social,migration Moldova refugees Ukrainian impact 2024..2025,en,scholar,Impact of Ukrainian Refugees on the COVID-19 Pandemic Dynamics after 24 February 2022,https://openalex.org/W4393860747,Computation (2024),,https://www.mdpi.com/2079-3197/12/4/70/pdf?version=1712125696,,,,,,,non_intel,0.93,[],journal,B,b,3,Examines COVID-19 dynamics from Ukrainian refugee flows; no Moldova-specific infrastructure insights.
social,urban rural disparity Moldova public services 2024..2025,en,scholar,"Urban wastewater management in Nepal: generation, treatment, engineering and policy perspectives",https://openalex.org/W4392705247,H2Open Journal (2024),,https://iwaponline.com/h2open/article-pdf/doi/10.2166/h2oj.2024.105/1380580/h2oj2024105.pdf,,,,,,,non_intel,0.99,[],journal,B,b,3,Study on wastewater in Nepal; unrelated to Moldova or its infrastructure.
social,urban rural disparity Moldova public services 2024..2025,en,scholar,Financing gap for universal social protection,https://openalex.org/W4396511505,ILO eBooks (2024),,https://www.econstor.eu/bitstream/10419/296565/1/1887275096.pdf,,,,,,,non_intel,0.9,[],NGO,B,b,3,Global social protection financing discussion; no Moldova infrastructure systems or dependencies addressed.
social,urban rural disparity Moldova public services 2024..2025,en,scholar,Trauma Outcomes in Pediatric Nonfatal Road Traffic Accidents,https://openalex.org/W4391880505,2024,,,,,,,,,non_intel,0.96,[],journal,C,b,3,Clinical outcomes in pediatric road traffic accidents; no Moldova or infrastructure policy/system relevance.
social,demographics Moldova population trend 2024..2025,en,scholar,Convergence and divergence in mortality: A global study from 1990 to 2030,https://openalex.org/W4390954758,PLoS ONE (2024),,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0295842&type=printable,,,,,,,non_intel,0.96,[],journal,A,b,3,Global mortality study; no Moldova-specific infrastructure content.
social,healthcare access Moldova rural 2024..2025,en,scholar,"Regional Competitiveness for Achieving Sustainable Development of Hail Region, Saudi Arabia",https://openalex.org/W4405920441,Sustainability (2024),,,,,,,,,non_intel,0.99,[],journal,C,b,3,Saudi regional development; not related to Moldova.
social,Transnistria social tensions pro-Russian sentiment 2024..2025,en,scholar,,https://openalex.org/W4390484956,Socio World Social Research & Behavioral Sciences (2024),,https://zenodo.org/records/10443165/files/SWD-13.03.2023.pdf,,,,,,,non_intel,0.88,[],journal,D,b,6,Insufficient metadata and unclear topic; no evident Moldova infrastructure relevance.
social,Transnistria social tensions pro-Russian sentiment 2024..2025,en,scholar,Understanding Islamic State's “acting” like a state,https://openalex.org/W4406524185,Edward Elgar Publishing eBooks (2025),,,,,,,,,non_intel,0.98,[],journal,B,b,3,Academic book on ISIS governance; no Moldova infrastructure relevance.
social,media consumption Moldova language Russian Romanian 2024..2025,en,scholar,The Law &amp; Politics of Brexit: Volume V,https://openalex.org/W4398255335,Oxford University Press eBooks (2024),,https://academic.oup.com/book/56381/book-pdf/57406675/9780198908296_web.pdf,,,,,,,non_intel,0.98,[],journal,B,b,3,Brexit law and politics volume; unrelated to Moldova’s infrastructure.
social,media consumption Moldova language Russian Romanian 2024..2025,en,scholar,Ukrainian Refugees in Switzerland: A research synthesis of what we know,https://openalex.org/W4390839983,2024,,https://osf.io/tcnhx/download,,,,,,,non_intel,0.95,[],report,C,b,3,Research synthesis on Ukrainian refugees in Switzerland; no Moldova infrastructure content.
social,media consumption Moldova language Russian Romanian 2024..2025,en,scholar,An Analysis of the Roma and Their Inclusion and Exclusion in Metropolitan Areas of Europe,https://openalex.org/W4399728208,2024,,https://rshare.library.torontomu.ca/articles/thesis/An_Analysis_of_the_Roma_and_Their_Inclusion_and_Exclusion_in_Metropolitan_Areas_of_Europe/26046568/1/files/47086138.pdf,,,,,,,non_intel,0.9,[],report,C,b,6,General analysis of Roma inclusion in European metros; lacks Moldova-specific infrastructure details.
social,diaspora Moldova remittances social impact 2024..2025,en,scholar,Responding to natural disasters: What do monthly remittance data tell us?,https://openalex.org/W4405220692,Journal of Development Economics (2024),,,,,,,,,non_intel,0.92,[],journal,A,b,3,Macroeconomic study on remittances and disasters; not Moldova-specific and no infrastructure system detail.
social,diaspora Moldova remittances social impact 2024..2025,en,scholar,RUSSIAN SOFT POWER AS AN INSTRUMENT OF INFLUENCE ON BELARUS,https://openalex.org/W4405686082,Przegląd Wschodnioeuropejski (2024),,,,,,,,,non_intel,0.89,[],journal,C,b,3,Focuses on Russian soft power in Belarus; not on Moldova’s infrastructure dependencies.
social,youth unemployment Moldova 2024..2025,en,scholar,Does Türkiye Have a Demographic Dividend? NUTS 2 Analysis,https://openalex.org/W4405258873,Cumhuriyet Üniversitesi İktisadi ve İdari Bilimler Dergisi (2024),,,,,,,,,non_intel,0.99,[],journal,C,b,3,Türkiye demographic analysis; unrelated to Moldova and infrastructure.
social,youth unemployment Moldova 2024..2025,en,scholar,The Impact of the United Nations Human Rights Treaties on the Domestic Level in the Czech Republic,https://openalex.org/W4392195217,Brill | Nijhoff eBooks (2024),,https://brill.com/downloadpdf/edcollchap-oa/book/9789004377653/BP000006.pdf,,,,,,,non_intel,0.98,[],journal,B,b,3,Book on UN human rights treaties in Czech Republic; no Moldova infrastructure relevance.
social,Moldova protests 2024 analysis,en,youtube,LIVE: Moldova’s Patriotic Bloc Supporters Rally Outside Parliament After Election | AC1G,https://www.youtube.com/watch?v=wc2nUTrGs8w,DRM News,,,20250929,"Moldova’s Patriotic Bloc supporters gathered outside parliament in Chisinau just a day after the elections, demanding that their votes be respected. The rally highlights growing political tensions in the country as citizens voice concerns about fairness and transparency in the electoral process.

Stay tuned for more updates on Moldova’s post-election developments and political movements.

#Moldova #Elections #Protests #PatrioticBloc #Chisinau #Politics #BreakingNews

Moldova elections, Moldova p",,,,,non_intel,0.86,[],other,D,b,3,Live video of political rally in Chisinau; contains no concrete infrastructure system details or incidents affecting capabilities.
social,Moldova protests 2024 analysis,en,youtube,'Moldova is worse than Ukraine': My clash with Russian sympathisers on the frontline of Cold War Two,https://www.youtube.com/watch?v=gZC5FvDt-u0,The Telegraph,,,20250722,"Is Moldova Putin’s next target? As Russia wages war in Ukraine, neighbouring Moldova faces a new kind of invasion: political manipulation, disinformation and cyber warfare. Francis Dearnley travels to Moldova’s capital Chisinau to uncover the hybrid war being waged at Europe's eastern frontier.

With Russian-backed protests coming up against pro-European figures pushing for EU integration, Moldova stands at a crossroads— caught between East and West. Could it become the next front in a broader g",,,,,non_intel,0.86,"['Events', 'Organisations']",news,B,c,3,"General narrative on hybrid threats and politics; lacks concrete, verifiable details on Moldova’s infrastructure systems, assets, or capabilities (2024–2025)."
social,Moldova protests 2024 analysis,en,youtube,Moldova gripped by mass anti-government protests,https://www.youtube.com/watch?v=Oy7RAeiToJo,Al Jazeera English,,,20160125,"Thousands have rallied in Chisinau demanding fresh elections and the ouster of the Prime Minister.

The demonstrators say the government is in the pockets of big business.

Al Jazeera's Robin Forestier Walker reports from Chisinau.

- Subscribe to our channel: http://bit.ly/AJSubscribe
- Follow us on Twitter: https://twitter.com/AJEnglish
- Find us on Facebook: https://www.facebook.com/aljazeera
- Check out our website: http://www.aljazeera.com/",,,,,non_intel,0.95,['Events'],news,B,c,3,"2016 protest coverage unrelated to current Moldovan infrastructure; no actionable data on energy, transport, telecom, or institutions."
social,Moldova protests 2024 analysis,en,youtube,Moldova bars pro-Russian party from tense parliamentary election • FRANCE 24 English,https://www.youtube.com/watch?v=qwRloizr1Tg,FRANCE 24 English,,,20250927,"Moldova’s electoral commission barred a pro-Russian party from participating in this weekend's tense parliamentary election, which is beleaguered by widespread claims of Russian interference. The vote could decide the country’s geopolitical future: a stark choice between East and West. Details by FRANCE 24 correspondent Maria Gerth-Niculescu.
#Moldova #election #Russia

🔔 Subscribe to France 24 now: https://f24.my/YTen
🔴 LIVE - Watch FRANCE 24 English 24/7 here: https://f24.my/YTliveEN

🌍 Read t",,,,,non_intel,0.93,"['Events', 'Organisations']",news,B,c,3,"Election-related politics and Russian interference claims; no specific infrastructure assets, dependencies, or performance metrics."
social,Moldova protests 2024 analysis,en,youtube,Watch again: Thousands protest soaring cost of living in Moldova,https://www.youtube.com/watch?v=XggSE3XHf8M,The Independent,,,20230312,"Thousands of demonstrators are expected to gather in the Moldovan capital Chisinau to protest against soaring costs of living, especially energy bills which now consume most of an average household income. 

Pro-Western president Maia Sandu says protesters, brought in by buses to Chisinau from all over Moldova, are financed by Russia via the exiled businessman Ilan Shor.

Watch more on Independent TV: https://www.independent.co.uk/tv/news

Click here to subscribe to The Independent: https://bit.",,,,,non_intel,0.78,"['Events', 'People']",news,B,c,3,"Cost-of-living protest mentions high energy bills but provides no concrete infrastructure capacity, systems, or policy details."
social,Moldova protests 2024 analysis,en,youtube,BREAKING: Moldova’s Patriotic Bloc Supporters Rally Outside Parliament After Election | AC1Z,https://www.youtube.com/watch?v=LdqhBe95_F0,DRM News,,,20250929,"Moldova’s Patriotic Bloc supporters gathered outside parliament in Chisinau just a day after the elections, demanding that their votes be respected. The rally highlights growing political tensions in the country as citizens voice concerns about fairness and transparency in the electoral process.

Stay tuned for more updates on Moldova’s post-election developments and political movements.

#Moldova #Elections #Protests #PatrioticBloc #Chisinau #Politics #BreakingNews

Moldova elections, Moldova p",,,,,non_intel,0.94,['Events'],other,D,f,4,"Post-election rally coverage from an unclear outlet; no infrastructure information, assets, or system-level specifics."
social,Moldova protests 2024 analysis,en,youtube,Moldova protests Russian voting stations in Transnistria,https://www.youtube.com/watch?v=GBmyBwoS84o,euronews,,,20240312,"The eastern European country summoned Russia's ambassador on Tuesday, after Moscow decided to open polling stations for Russian elections in the Transnistrian region without its consent. 

READ MORE : https://www.euronews.com/2024/03/12/moldova-protests-russian-voting-stations-in-transnistria

Subscribe to our channel: https://www.youtube.com/c/euronews?sub_confirmation=1
Watch our LIVE here: https://www.youtube.com/c/euronews/live

Subscribe to our thematic channels:
NoComment: https://www.yout",,,,,non_intel,0.9,"['Events', 'Organisations']",news,B,c,2,"Diplomatic dispute over voting stations in Transnistria; political/legal issue, not infrastructure capabilities or assets."
social,Moldova protests 2024 analysis,en,youtube,Moldova’s Stolen Victory? Opposition Cries Fraud and Demands Justice Amid Election Chaos,https://www.youtube.com/watch?v=ak-ZV4fopak,Times Now World,,,20250930,"Moldova’s parliamentary elections have sparked a political crisis, with opposition leaders denouncing the vote as fraudulent and pro-Russian supporters staging mass protests in Chisinau. President Maia Sandu’s pro-European Action and Solidarity Party declared a narrow victory, but rivals led by Marina Tauber and Igor Dodon accused the government of rigging results and silencing voters abroad. Demonstrators branded Moldova a “colony of Europe” and demanded new elections, while European leaders ha",,,,,non_intel,0.93,"['Events', 'Organisations']",news,C,c,3,Election fraud claims and protests; lacks concrete infrastructure data or systems analysis relevant to 2024–2025.
social,Moldova protests 2024 analysis,en,youtube,"The Moldovan Town Where 95 Percent Said 'No' To The EU, 'Yes' To Russian TV",https://www.youtube.com/watch?v=EPpCOyseycQ,Radio Free Europe/Radio Liberty,,,20241031,"In Moldova’s Gagauzia region, 95% of residents recently cast a vote against enshrining EU membership in the constitution. This might be due to a strong pro-Russia sentiment, as many Moldovans here rely on Russian TV for news, shaping their perspective in opposition to EU integration. After the recent EU referendum, locals expressed nostalgia for Soviet times and concerns over Western values. 

#moldova #russianews #rfe_rl",,,,,non_intel,0.88,"['People', 'Events']",news,B,c,3,"Local anti‑EU sentiment and reliance on Russian TV noted, but no actionable telecom infrastructure details or system metrics."
social,Moldova protests 2024 analysis,en,youtube,WARNING: Russia May Be Planning Violent Protests After the Moldovan Elections,https://www.youtube.com/watch?v=AafBex7Zg4U,NEWS TODAY,,,20250926,"WARNING: Russia May Be Planning Violent Protests After the Moldovan Elections 
https://ift.tt/EU1kQGi 
Reports indicate a concerning potential for Russia to instigate violent protests following Moldova's upcoming parliamentary elections. According to analyses from the Institute for the Study of War and intelligence agencies, the Kremlin is reportedly laying the groundwork to destabilize the country, regardless of the election's outcome. This alleged plan involves a sophisticated information oper",,,,,non_intel,0.96,"['Events', 'Organisations']",other,D,d,4,Speculative warning about planned protests citing external analyses; no infrastructure content or verifiable system data.
social,Gagauzia identity Russian world 2024,en,youtube,The Life and History of Moldova’s Autonomous Region of Gagauzia,https://www.youtube.com/watch?v=1LMbiXZM2As,TRT World,,,20210824,"Across the Balkans takes you to the northeastern edge of the Balkan peninsula, to Moldova’s autonomous region of Gagauzia, home to the Gagauz people. They're a small Turkic minority group, and speak a language close to Turkish. Their rights and autonomy are protected by Moldova's constitution, but their tiny region is caught between Russia, the EU and Turkey, all vying for influence. TRT World Correspondent Andrew Hopkins explains.

Across The Balkans, hosted by Nafisa Latic, is TRT World’s prog",,,,,non_intel,0.97,"['People', 'Organisations']",news,C,c,3,"Historical/ethnographic overview of Gagauzia; lacks current infrastructure systems, assets, or capability details."
